8940 errors
1113 warnings

Errors and warnings:

Severity	Code	Description	Project	File	Line	Suppression State
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	60	Active
Error	CS0246	The type or namespace name 'ForgeTypeId' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	81	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	112	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	121	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	177	Active
Error	CS0246	The type or namespace name 'AccessLevel' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaDataWrapper.cs	178	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	27	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	28	Active
Error	CS0246	The type or namespace name 'Autodesk' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	29	Active
Error	CS0246	The type or namespace name 'Schema' could not be found (are you missing a using directive or an assembly reference?)	SchemaWrapperTools	Z:\a\src\rvt\RevitSdkSamples\SDK\Samples\ExtensibleStorageManager\SchemaWrapperTools\CS\SchemaWrapper.cs	57	Active
